Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
fffe31003700330032003400,2008-03-11,Female,Service,No,1.0,4.0,6.5,0.43
fffe32003900320030003300,2008-08-15,Female,Service,Yes,0.0,1.0,1.8,0.1
fffe32003600370036003700,2008-08-25,Female,Product,No,3.0,6.0,8.1,0.68
fffe3500320039003100,2008-12-14,Male,Product,No,2.0,5.0,6.9,
fffe33003400300034003600,2008-04-26,Male,Service,Yes,3.0,7.0,6.4,0.56
fffe3400350037003000,2008-01-26,Male,Service,Yes,3.0,8.0,7.2,0.73
fffe32003800370034003800,2008-09-05,Female,Service,No,2.0,5.0,8.6,0.7
fffe31003500390039003000,2008-04-03,Male,Service,No,2.0,5.0,,0.58
fffe31003300330030003000,2008-12-19,Male,Product,No,4.0,8.0,9.5,0.88
fffe31003100370035003400,2008-08-13,Male,Product,Yes,2.0,6.0,6.8,0.63
fffe3100360037003800,2008-03-08,Female,Service,No,2.0,5.0,6.5,0.62
fffe3500390039003700,2008-09-14,Female,Service,Yes,2.0,3.0,3.5,0.25
fffe33003400350037003000,2008-04-24,Male,Service,No,2.0,3.0,4.8,0.4
fffe3300340033003900,2008-02-05,Male,Product,No,3.0,8.0,7.6,0.77
fffe32003800380038003500,2008-02-17,Male,Product,Yes,3.0,6.0,6.2,0.58
fffe31003700380039003600,2008-09-11,Female,Product,Yes,3.0,6.0,3.6,0.3
fffe32003600360038003400,2008-04-16,Male,Product,No,3.0,6.0,8.0,0.61
fffe31003000340032003700,2008-10-24,Female,Service,Yes,3.0,5.0,6.0,0.4
fffe3300380034003600,2008-03-05,Female,Service,Yes,1.0,3.0,3.8,0.33
fffe32003200320034003000,2008-04-03,Female,Product,Yes,1.0,2.0,2.4,0.06
fffe31003100380033003600,2008-08-08,Male,Service,Yes,1.0,4.0,4.3,0.36
fffe32003800310031003100,2008-09-18,Female,Service,Yes,1.0,2.0,3.7,0.28
fffe31003800370033003800,2008-09-25,Male,Service,Yes,2.0,6.0,,
fffe32003000330031003700,2008-03-01,Male,Product,Yes,2.0,5.0,5.6,0.37
fffe32003500340034003400,2008-05-23,Female,Service,Yes,0.0,1.0,1.0,0.03
fffe33003300310035003800,2008-09-07,Female,Product,Yes,2.0,5.0,7.2,0.67
fffe32003400360033003800,2008-03-23,Male,Service,Yes,1.0,3.0,6.7,0.46
fffe31003000300032003600,2008-01-25,Female,Service,Yes,1.0,2.0,,
fffe31003700330032003300,2008-12-29,Female,Service,Yes,3.0,8.0,7.5,0.72
fffe3900370030003600,2008-06-15,Female,Service,No,3.0,6.0,,0.69
fffe3900360033003500,2008-03-27,Female,Service,No,4.0,7.0,7.5,0.65
fffe31003100350037003700,2008-02-24,Female,Product,No,0.0,1.0,4.0,0.24
fffe31003400350033003700,2008-11-30,Female,Service,Yes,1.0,3.0,5.3,0.41
fffe3100390034003700,2008-10-03,Female,Product,No,2.0,5.0,7.5,0.68
fffe31003700380032003400,2008-01-17,Female,Service,Yes,1.0,2.0,,0.42
fffe31003300310035003400,2008-01-30,Male,Product,No,4.0,7.0,7.7,0.72
fffe33003400390035003500,2008-03-28,Male,Service,Yes,0.0,2.0,4.4,0.33
fffe31003600300032003500,2008-10-21,Female,Service,Yes,2.0,3.0,,0.37
fffe3700370031003700,2008-02-03,Male,Service,Yes,4.0,6.0,,0.6
fffe31003400340031003500,2008-10-13,Male,Service,Yes,3.0,5.0,6.5,0.48
fffe32003300340038003400,2008-02-08,Male,Product,Yes,2.0,4.0,5.5,0.48
fffe31003700310033003400,2008-11-25,Male,Service,No,2.0,5.0,5.0,0.36
fffe32003000330033003800,2008-04-23,Female,Service,Yes,1.0,1.0,,0.24
fffe31003400380038003100,2008-11-07,Male,Product,No,4.0,10.0,9.2,0.91
fffe3400350037003400,2008-06-20,Male,Product,Yes,2.0,5.0,5.0,
fffe31003000360035003700,2008-12-23,Female,Product,Yes,1.0,2.0,4.1,0.24
fffe33003400330035003900,2008-11-24,Female,Service,No,3.0,6.0,5.5,0.45
fffe3900350033003600,2008-06-21,Male,Service,No,5.0,9.0,8.8,0.85
fffe31003000300037003800,2008-05-20,Female,Service,No,2.0,4.0,5.5,0.34
fffe3900300031003000,2008-11-29,Male,Product,Yes,1.0,3.0,5.9,0.36
fffe33003100360037003700,2008-08-11,Female,Service,Yes,2.0,4.0,4.5,0.34
fffe3900350039003000,2008-04-29,Male,Product,No,3.0,6.0,8.0,0.59
fffe31003200370030003900,2008-07-22,Female,Service,Yes,2.0,4.0,5.8,0.44
fffe3800380035003500,2008-11-19,Male,Service,No,1.0,3.0,4.4,0.38
fffe32003000310034003600,2008-12-19,Female,Product,Yes,2.0,4.0,6.1,
fffe31003700380033003600,2008-12-29,Male,Product,No,3.0,6.0,7.5,0.59
fffe33003400360035003000,2008-06-20,Female,Service,No,2.0,7.0,8.0,0.7
fffe31003200370036003300,2008-08-31,Male,Product,No,2.0,3.0,6.1,0.42
fffe32003000320030003900,2008-05-26,Male,Product,Yes,1.0,2.0,5.1,0.46
fffe31003800390034003900,2008-12-25,Female,Service,Yes,3.0,4.0,,0.48
fffe32003800370033003600,2008-02-14,Female,Service,Yes,3.0,5.0,4.7,0.39
fffe33003000360035003300,2008-03-04,Female,Service,Yes,3.0,5.0,5.2,0.42
fffe31003100370037003500,2008-10-06,Male,Product,Yes,0.0,1.0,0.0,0.0
fffe32003700320037003100,2008-10-21,Female,Service,Yes,2.0,5.0,5.1,0.46
fffe31003800300037003300,2008-08-16,Male,Product,Yes,1.0,2.0,4.4,0.3
fffe32003700370030003400,2008-10-29,Female,Product,No,4.0,6.0,6.9,0.63
fffe31003400310039003400,2008-07-15,Female,Service,No,2.0,5.0,5.3,0.45
fffe3300370039003900,2008-04-21,Male,Service,No,2.0,3.0,,0.49
fffe3400350038003300,2008-09-01,Female,Service,Yes,3.0,6.0,6.0,0.58
fffe31003900300039003700,2008-01-06,Male,Product,No,4.0,7.0,8.6,0.67
fffe32003400330033003400,2008-03-20,Male,Service,No,2.0,5.0,7.3,0.71
fffe32003800310033003800,2008-04-14,Female,Service,Yes,1.0,3.0,5.5,0.48
fffe3700360035003600,2008-05-21,Male,Service,Yes,1.0,3.0,2.9,0.22
fffe32003000340039003700,2008-06-11,Female,Product,No,3.0,6.0,5.1,0.43
fffe3300350035003000,2008-10-03,Male,Service,Yes,4.0,8.0,,0.74
fffe3800350037003300,2008-02-16,Male,Service,No,2.0,5.0,6.4,0.57
fffe31003900330038003200,2008-02-05,Female,Service,Yes,2.0,3.0,,0.22
fffe3100360031003700,2008-08-11,Male,Service,Yes,1.0,,4.8,
fffe31003600380030003300,2008-11-19,Female,Service,No,3.0,,5.8,0.47
fffe33003400360039003100,2008-10-29,Female,Service,Yes,3.0,4.0,6.1,0.47
fffe33003000300033003700,2008-06-11,Female,Service,Yes,3.0,5.0,5.3,0.47
fffe3400370031003000,2008-10-13,Female,Product,Yes,1.0,4.0,5.5,0.34
fffe32003800370039003300,2008-10-10,Female,Service,Yes,1.0,3.0,5.5,0.37
fffe3400310036003300,2008-09-26,Female,Service,No,3.0,7.0,7.8,0.8
fffe31003100380031003200,2008-06-01,Male,Product,No,4.0,8.0,8.9,0.8
fffe3200390038003900,2008-07-11,Female,Product,No,2.0,,,0.36
fffe32003000370031003000,2008-07-23,Female,Service,Yes,1.0,4.0,6.9,0.49
fffe31003500390038003500,2008-07-10,Female,Service,Yes,1.0,3.0,,0.35
fffe31003400340032003700,2008-08-09,Male,Service,Yes,0.0,1.0,0.0,0.0
fffe33003000340033003600,2008-10-05,Male,Service,Yes,4.0,9.0,9.3,0.86
fffe31003500340030003900,2008-03-14,Female,Service,Yes,1.0,2.0,4.6,0.33
fffe3800310033003200,2008-08-04,Female,Service,Yes,2.0,5.0,7.3,
fffe31003200370033003800,2008-06-14,Female,Service,Yes,3.0,6.0,5.7,0.5
fffe33003200300031003300,2008-10-23,Female,Service,Yes,2.0,4.0,4.5,0.34
fffe32003100380035003300,2008-02-22,Male,Product,Yes,0.0,2.0,4.7,0.23
fffe3400340035003800,2008-02-04,Male,Product,No,4.0,8.0,9.9,0.92
fffe33003200380031003800,2008-05-19,Female,Service,Yes,3.0,6.0,6.3,0.44
fffe33003200330034003200,2008-09-20,Female,Service,Yes,1.0,3.0,3.6,0.15
fffe33003000310038003300,2008-03-08,Female,Service,Yes,0.0,2.0,4.3,0.32
fffe32003200390032003500,2008-08-01,Female,Service,Yes,3.0,4.0,6.5,0.43
fffe32003600360035003100,2008-01-18,Male,Service,No,4.0,9.0,8.7,0.78
fffe360030003700,2008-03-04,Male,Service,Yes,0.0,1.0,3.1,0.23
fffe31003200320037003900,2008-07-13,Male,Service,Yes,2.0,4.0,3.6,0.21
fffe3100320034003200,2008-08-15,Male,Service,Yes,1.0,2.0,3.6,0.23
fffe3600390030003500,2008-11-04,Female,Product,Yes,3.0,5.0,5.7,0.4
fffe32003100360038003100,2008-11-24,Female,Service,Yes,2.0,5.0,5.7,0.38
fffe32003800370033003900,2008-04-16,Female,Service,No,0.0,1.0,0.5,0.0
fffe31003100300038003900,2008-12-05,Female,Product,No,2.0,4.0,3.9,0.33
fffe310030003300,2008-07-27,Male,Product,Yes,3.0,,7.3,0.63
fffe3600350036003900,2008-12-07,Female,Product,No,2.0,5.0,7.0,0.62
fffe32003200330038003600,2008-10-13,Female,Service,No,2.0,4.0,,0.39
fffe3700340032003100,2008-06-15,Male,Service,Yes,3.0,4.0,5.4,0.36
fffe32003100390036003700,2008-06-04,Female,Service,Yes,2.0,3.0,3.7,0.28
fffe31003600360035003400,2008-12-17,Female,Product,No,3.0,,7.4,0.56
fffe31003800360038003300,2008-09-09,Female,Service,Yes,2.0,4.0,6.1,0.41
fffe32003800330034003000,2008-02-05,Male,Service,Yes,0.0,1.0,2.8,0.1
fffe32003400300033003500,2008-11-01,Female,Service,No,2.0,4.0,6.9,0.63
fffe31003400390032003000,2008-01-28,Male,Service,Yes,3.0,7.0,7.3,0.67
fffe32003600300034003200,2008-04-14,Male,Service,No,3.0,7.0,7.2,0.62
fffe32003200380037003700,2008-04-04,Male,Service,Yes,2.0,7.0,9.0,0.77
fffe31003500330036003700,2008-07-06,Female,Service,No,0.0,1.0,0.0,0.0
fffe32003900310031003300,2008-12-19,Male,Product,Yes,2.0,6.0,5.6,0.51
fffe33003100310035003200,2008-12-28,Female,Service,Yes,2.0,4.0,6.8,0.61
fffe3300330034003200,2008-02-11,Female,Service,Yes,1.0,3.0,5.1,0.41
fffe3400360032003100,2008-07-08,Female,Service,Yes,3.0,5.0,6.0,0.53
fffe3700390038003900,2008-12-16,Female,Service,Yes,1.0,3.0,6.8,0.5
fffe32003700330036003100,2008-11-17,Male,Product,Yes,2.0,5.0,6.5,0.55
fffe3100310034003000,2008-07-13,Male,Service,Yes,4.0,6.0,5.7,0.49
fffe31003400370037003600,2008-01-21,Male,Service,Yes,2.0,,6.9,0.57
fffe31003500330036003100,2008-10-19,Male,Product,Yes,3.0,5.0,6.1,0.44
fffe3200340032003800,2008-01-07,Male,Service,Yes,3.0,7.0,8.8,0.7
fffe32003500340036003900,2008-10-21,Female,Service,Yes,1.0,2.0,6.8,0.48
fffe3500340030003100,2008-12-24,Male,Product,No,0.0,,3.8,0.23
fffe31003100320034003200,2008-06-09,Male,Service,No,4.0,7.0,,0.79
fffe32003500330030003600,2008-01-19,Male,Service,No,2.0,5.0,6.8,0.6
fffe32003800370038003100,2008-09-13,Male,Product,Yes,2.0,4.0,5.5,0.48
fffe33003400390038003700,2008-10-28,Female,Service,Yes,2.0,3.0,4.5,0.21
fffe31003600370032003800,2008-07-22,Female,Product,No,2.0,2.0,2.6,0.15
fffe32003400350038003000,2008-10-14,Male,Service,No,5.0,10.0,10.0,0.98
fffe31003100350037003800,2008-11-08,Female,Service,Yes,1.0,2.0,4.3,0.25
fffe32003700310038003500,2008-02-16,Male,Product,No,3.0,8.0,8.8,0.7
fffe32003400390031003600,2008-07-11,Female,Service,No,4.0,7.0,7.2,0.69
fffe3500350032003300,2008-09-02,Male,Service,Yes,1.0,3.0,4.4,0.33
fffe3300360036003400,2008-12-04,Female,Service,No,2.0,4.0,5.5,0.44
fffe33003200380032003700,2008-12-26,Female,Product,No,2.0,5.0,7.8,0.57
fffe33003300320037003500,2008-05-08,Male,Product,Yes,1.0,3.0,4.5,0.27
fffe32003200330034003200,2008-08-12,Male,Service,No,4.0,6.0,6.7,0.67
fffe31003000340033003200,2008-01-26,Female,Service,No,1.0,1.0,3.4,0.25
fffe390035003100,2008-08-24,Female,Service,No,0.0,1.0,3.6,0.18
fffe3500300035003400,2008-02-03,Female,Product,No,3.0,7.0,7.9,0.6
fffe32003500370035003000,2008-09-30,Female,Service,Yes,2.0,5.0,5.3,0.39
fffe31003700340033003400,2008-09-21,Female,Service,Yes,1.0,3.0,5.3,0.34
fffe33003400340030003900,2008-11-10,Female,Product,No,3.0,6.0,5.5,0.52
fffe33003100320037003700,2008-04-28,Female,Product,No,1.0,3.0,5.4,0.42
fffe3900300039003300,2008-12-25,Male,Product,Yes,1.0,1.0,4.8,0.28
fffe31003600330039003300,2008-01-09,Female,Product,Yes,2.0,4.0,6.2,0.38
fffe3500370038003800,2008-05-18,Male,Product,No,4.0,6.0,6.9,0.59
fffe3200340033003500,2008-01-23,Female,Product,Yes,2.0,5.0,8.0,0.62
fffe31003700370036003700,2008-09-14,Male,Product,No,3.0,7.0,8.7,0.76
fffe3200350035003100,2008-08-09,Female,Service,No,1.0,3.0,4.2,0.33
fffe33003100310030003900,2008-12-08,Male,Service,No,2.0,2.0,4.2,0.28
fffe33003000370038003600,2008-01-25,Female,Service,No,3.0,6.0,7.2,0.62
fffe31003900330039003900,2008-10-08,Female,Service,Yes,2.0,4.0,5.2,0.45
fffe31003500380036003900,2008-09-14,Male,Service,Yes,2.0,2.0,3.3,0.24
fffe3400310039003500,2008-08-08,Male,Product,No,0.0,1.0,1.6,
fffe33003100350036003000,2008-09-27,Male,Service,No,2.0,5.0,6.3,0.53
fffe340039003600,2008-05-03,Male,Service,Yes,2.0,4.0,6.8,0.59
fffe3700330038003100,2008-07-24,Female,Product,Yes,0.0,1.0,2.0,
fffe3700300032003000,2008-05-21,Male,Product,Yes,3.0,6.0,,0.65
fffe31003500390034003500,2008-02-04,Male,Product,Yes,3.0,5.0,3.8,0.29
fffe3200370032003800,2008-05-12,Female,Product,Yes,1.0,2.0,2.7,0.19
fffe3200370037003600,2008-02-21,Female,Service,No,4.0,7.0,8.1,0.65
fffe32003900350036003500,2008-12-09,Female,Product,Yes,1.0,1.0,1.3,0.02
fffe33003000380035003300,2008-10-16,Female,Service,Yes,2.0,4.0,7.0,0.47
fffe31003800320039003800,2008-05-16,Male,Service,No,4.0,7.0,,0.82
fffe31003300310039003200,2008-10-26,Female,Service,No,2.0,5.0,6.6,0.43
fffe32003800340031003500,2008-09-22,Female,Service,No,2.0,5.0,7.9,0.61
fffe31003400320038003900,2008-08-06,Female,Product,No,0.0,2.0,4.7,0.33
fffe32003700300037003600,2008-05-03,Female,Service,No,2.0,4.0,7.9,0.6
fffe32003600380034003200,2008-03-03,Female,Product,No,2.0,6.0,6.4,0.52
fffe31003800360034003800,2008-04-30,Male,Service,Yes,5.0,9.0,9.3,0.93
fffe31003500340036003400,2008-12-20,Male,Product,No,2.0,4.0,6.3,0.47
fffe3100350036003700,2008-09-01,Male,Service,No,2.0,,6.4,0.53
fffe31003900380039003900,2008-03-02,Male,Service,No,3.0,7.0,6.9,0.51
fffe31003300390037003400,2008-02-08,Female,Service,Yes,1.0,1.0,4.9,0.26
