Employee ID,Burn Rate
fffe3900310039003900,0.43
fffe3700390037003100,0.36
fffe31003200340031003600,0.65
fffe33003200380038003800,0.36
fffe32003400380038003200,0.41
fffe32003300330037003600,0.26
fffe33003400360030003700,0.36
fffe31003900340030003800,0.36
fffe33003400300037003400,0.45
fffe3400360035003700,0.54
fffe33003000340039003100,0.53
fffe32003000390030003300,0.61
fffe32003800300030003000,0.16
fffe32003500300032003800,0.45
fffe3800330032003700,0.71
fffe32003900380039003600,0.25
fffe3200310031003300,0.29
fffe32003700350038003000,0.47
fffe31003800370033003700,0.43
fffe33003300380038003100,0.76
fffe31003400340030003400,0.32
fffe31003000340030003400,0.32
fffe31003400330032003700,0.12
fffe31003700310030003300,0.57
fffe31003300310033003300,0.74
fffe33003400330031003500,0.57
fffe32003800300036003800,0.66
fffe33003000300032003900,0.0
fffe32003800390035003700,0.29
fffe3400320036003200,0.48
fffe33003200390038003700,0.47
fffe33003100380035003700,0.24
fffe32003900350032003100,0.0
fffe31003400360032003800,0.74
fffe32003500340030003200,0.25
fffe32003600330035003300,0.37
fffe3700320033003600,0.36
fffe31003400310033003000,0.38
fffe31003400380034003800,0.43
fffe32003300340039003700,0.38
fffe31003300360031003300,0.57
fffe3500350037003800,0.42
fffe32003300350035003400,0.59
fffe3600310037003400,0.43
fffe3200350036003400,0.32
fffe33003100350034003600,0.25
fffe3700390038003600,0.42
fffe31003200350033003800,0.35
fffe32003300320033003400,0.55
fffe31003900360035003900,0.07
fffe3400360036003800,0.65
fffe3100320032003000,0.65
fffe3900310038003900,0.71
fffe3500330032003600,0.77
fffe3700370034003000,0.43
fffe3100310038003800,0.42
fffe33003300350036003500,0.76
fffe33003400390031003600,0.67
fffe31003400370035003400,0.38
fffe31003600340039003900,0.6
fffe31003600350034003300,0.86
fffe32003900310033003300,0.38
fffe32003700300039003800,0.43
fffe32003600340036003300,0.02
fffe31003100340039003600,0.38
fffe31003700340036003000,0.45
fffe31003600390030003700,0.24
fffe32003500320036003900,0.6
fffe32003200330033003700,0.15
fffe32003500380035003600,0.3
fffe32003900330030003800,0.18
fffe3700360031003700,0.82
fffe31003400350032003300,0.39
fffe31003000300034003900,0.32
fffe31003500370032003200,0.56
fffe31003400330039003100,0.63
fffe33003100340037003400,0.3
fffe33003300390033003500,0.83
fffe390035003800,0.46
fffe31003500310033003600,0.4
fffe31003600390032003600,0.5
fffe31003600300038003000,0.33
fffe3800390036003400,0.29
fffe33003100380031003200,0.33
fffe33003100390033003000,0.6
fffe31003100370034003800,0.0
fffe32003500370034003400,0.46
fffe350039003100,0.92
fffe31003000340030003500,0.34
fffe33003300340034003300,0.32
fffe31003600330032003500,0.87
fffe31003400350037003900,0.45
fffe31003800370035003000,0.75
fffe3400320037003600,0.28
fffe33003100390034003000,0.56
fffe31003000340037003600,0.34
fffe3800380033003600,0.61
fffe33003300380030003100,0.56
fffe3900370035003800,0.38
fffe3800370031003400,0.13
fffe3600380039003100,0.37
fffe3100300039003200,0.51
fffe31003000330034003700,0.25
fffe33003400390034003000,0.21
fffe32003600360035003500,0.26
fffe3900380031003100,0.5
fffe3200350035003000,0.61
fffe32003400310032003000,0.7
fffe33003200340033003300,0.68
fffe3800340035003200,0.76
fffe32003300360035003400,0.55
fffe3200380031003700,0.35
fffe31003200360035003900,0.57
fffe33003200320036003800,0.22
fffe31003500320035003500,0.26
fffe31003400330039003500,0.63
fffe32003600360038003200,0.44
fffe33003000,0.21
fffe33003300370036003900,0.58
fffe31003200310031003600,0.56
fffe33003400320035003000,0.35
fffe33003100300036003800,0.24
fffe3200370037003800,0.58
fffe32003500300036003500,0.4
fffe32003800380034003300,0.62
fffe33003100350032003000,0.56
fffe31003300340031003000,0.63
fffe32003100390031003500,0.67
fffe3100380034003300,0.72
fffe31003100320030003300,0.59
fffe31003200350035003800,0.56
fffe31003200350034003500,0.73
fffe32003500380037003700,0.44
fffe32003500320031003100,0.03
fffe3700310035003300,0.73
fffe31003300390035003400,0.44
fffe31003400390037003000,0.35
fffe32003600300037003100,0.7
fffe3900380038003700,0.59
fffe3600390031003300,0.53
fffe33003100390031003100,0.65
fffe3100320036003300,0.54
fffe3900350030003300,0.44
fffe32003300350036003100,0.57
fffe33003200360032003400,0.37
fffe31003400320038003000,0.15
fffe31003300310033003900,0.18
fffe3800300034003300,0.48
fffe32003200370031003200,0.59
fffe31003400340039003200,0.35
fffe32003600340039003600,0.54
fffe33003100370036003600,0.57
fffe32003600320031003600,0.51
fffe32003000380030003700,0.45
fffe32003700340034003800,0.44
fffe32003100350030003100,0.34
fffe32003400380031003200,0.4
fffe31003300370030003800,0.76
fffe32003500360031003400,0.68
fffe3600370037003500,0.2
fffe32003300380034003100,0.55
fffe32003800310031003300,0.73
fffe31003700330031003300,0.6
fffe32003000300036003900,0.78
fffe31003200370032003100,0.72
fffe3500340039003400,0.45
fffe32003400330037003400,0.48
fffe31003000340039003900,0.45
fffe31003600350038003800,0.94
fffe3400320039003600,0.04
fffe3800310034003200,0.42
fffe31003500340033003600,0.15
fffe3700340036003200,0.3
fffe32003800340036003200,0.69
fffe3700390035003900,0.15
fffe32003500300039003100,0.62
fffe31003800340039003900,0.46
fffe32003200360032003300,0.61
fffe3900370038003200,0.73
fffe3400300031003000,0.35
fffe31003700390036003500,0.58
fffe32003000390035003900,0.54
fffe32003400330038003700,0.6
fffe32003100300037003100,0.51
fffe32003700390038003300,0.47
fffe31003400380034003400,0.58
fffe31003500310036003100,0.58
fffe31003200360032003300,0.48
fffe33003400350032003300,0.42
fffe32003300300035003300,0.2
fffe33003200380031003700,0.39
fffe3700360039003000,0.19
fffe33003300310035003000,0.52
fffe31003500390036003900,0.53
fffe380037003500,0.35
fffe31003200330033003100,0.26
fffe31003200320032003700,0.56
fffe33003000380031003700,0.16
fffe32003400320032003300,0.6
fffe33003000340035003500,0.63
fffe31003800320033003300,0.35
fffe3600390031003800,0.53
fffe33003300370036003700,0.11
fffe31003600390032003000,0.25
fffe32003000350038003100,0.26
fffe31003500330033003400,0.26
fffe32003000380032003800,0.6
fffe31003400350032003000,0.15
fffe31003300300037003700,0.4
fffe310032003900,0.61
fffe33003200380036003500,0.35
fffe3900340033003300,0.4
fffe33003000380036003000,0.68
fffe31003500300038003400,0.41
fffe3500350036003500,0.41
fffe3600350033003500,0.31
fffe33003200300037003100,0.34
fffe3300310032003000,0.72
fffe32003100300034003800,0.33
fffe3300320038003500,0.57
fffe32003000330035003400,0.59
fffe3800330036003800,0.31
fffe3600360030003200,0.45
fffe3500380036003000,0.5
fffe31003200380036003500,0.93
fffe3200380038003300,0.52
fffe33003400390031003100,0.63
fffe3700320039003400,0.74
fffe31003600380030003100,0.21
fffe3900300035003800,0.28
fffe31003300360036003900,0.5
fffe31003100360032003200,0.67
fffe31003500340031003600,0.46
fffe31003000300034003700,0.42
fffe3600380032003700,0.28
fffe32003800310037003800,0.35
fffe31003600370034003600,0.58
fffe32003400320038003600,0.58
fffe32003300340036003200,0.67
fffe3500300038003900,0.59
fffe31003500360036003000,0.47
fffe31003000390036003800,0.61
fffe3900320031003600,0.19
fffe33003300360035003400,0.62
fffe31003100370038003700,0.34
fffe33003300320034003500,0.2
fffe3300370033003700,0.43
fffe32003000320030003100,0.27
fffe32003400320036003000,0.42
fffe33003200330037003600,0.32
fffe31003900380031003100,0.91
fffe3700350035003200,0.21
fffe32003100310030003200,0.25
fffe31003100370031003400,0.45
fffe31003800370030003700,0.24
fffe3700370034003600,0.59
fffe3900370039003400,0.28
fffe32003500330035003600,0.31
fffe31003300360031003900,0.45
fffe32003300380034003800,0.52
fffe31003800390035003000,0.76
fffe31003100300039003300,0.61
fffe32003100350033003200,0.59
fffe3200360034003100,0.01
fffe32003200340033003800,0.2
fffe32003600360030003100,0.73
fffe31003600340033003500,0.5
fffe3200330030003800,0.23
fffe32003900370035003300,0.4
fffe31003500380031003300,0.0
fffe31003600360038003400,0.43
fffe3400380034003800,0.31
fffe33003100380039003200,0.28
fffe31003100330034003200,0.49
fffe31003600340030003800,0.41
fffe3100380035003900,0.26
fffe32003900380039003500,0.11
fffe31003700300030003800,0.58
fffe31003800370031003800,0.62
fffe3200330033003600,0.21
fffe3700360038003700,0.75
fffe3300320031003700,0.55
fffe31003100360030003200,0.41
fffe31003300360036003800,0.48
fffe32003100390033003800,0.51
fffe31003900350039003000,0.47
fffe32003200320033003300,0.43
fffe32003800340035003300,0.55
fffe31003100330032003800,0.33
fffe3400350039003900,0.53
fffe3800310036003000,0.31
fffe31003600320033003600,0.39
fffe32003400370039003500,0.42
fffe3700300036003800,0.26
fffe33003000300033003200,0.48
fffe33003000370037003100,0.6
fffe31003100320038003100,0.62
fffe32003500370035003700,0.71
fffe31003100320038003500,0.86
fffe32003600300035003500,0.32
fffe32003600300034003900,0.31
fffe3300320039003400,0.34
fffe32003800390033003300,0.69
fffe31003600340035003800,0.52
fffe32003000390030003700,0.28
fffe31003300320038003100,0.3
fffe31003600370030003700,0.13
fffe32003000330039003400,0.55
fffe31003800340037003100,0.48
fffe31003500370038003900,0.23
fffe3500300037003700,0.58
fffe32003000320037003300,0.33
fffe31003900320036003700,0.56
fffe31003900350038003800,0.69
fffe31003800300034003200,0.38
fffe33003400350036003800,0.71
fffe31003400340034003400,0.63
fffe32003600320037003200,0.32
fffe3300390033003300,0.43
fffe32003200300031003300,0.36
fffe3100360036003100,0.33
fffe31003100320039003900,0.37
fffe32003700350031003400,0.57
fffe33003100360033003100,0.59
fffe3400310039003600,0.36
fffe32003300330036003400,0.55
fffe33003100320038003300,0.56
fffe32003200330034003600,0.39
fffe31003700350038003500,0.58
fffe32003100390030003900,0.35
fffe31003000330036003000,0.21
fffe390034003300,0.15
fffe3300310039003200,0.39
fffe31003700320030003600,0.32
fffe31003500330030003600,0.61
fffe32003300360039003200,0.76
fffe3500350031003400,0.38
fffe33003000390037003000,0.47
fffe3800340030003800,0.96
fffe3500390039003500,0.51
fffe32003100330033003100,0.25
fffe31003900380035003800,0.73
fffe31003200370033003400,0.28
fffe33003300340036003500,0.47
fffe3900380032003000,0.46
fffe32003700370035003500,0.02
fffe31003900330039003500,0.42
fffe32003400300036003900,0.19
fffe31003800320037003800,0.12
fffe3400360039003400,0.61
fffe32003700390036003000,0.17
fffe320032003600,0.63
fffe31003200300037003300,0.29
fffe3700380033003700,0.57
fffe330038003800,0.53
fffe33003200340038003100,0.21
fffe32003800370035003100,0.14
fffe3800300036003000,0.58
fffe32003200340039003800,0.41
fffe31003600320033003900,0.01
fffe3500340037003700,0.44
fffe32003500340039003100,0.54
fffe31003400380033003100,0.39
fffe3600370031003600,0.2
fffe32003600360035003000,0.28
fffe33003100380037003100,0.69
fffe32003900390035003100,0.58
fffe3800360039003300,0.27
fffe32003200310035003200,0.33
fffe31003200340036003300,0.47
fffe32003300340033003900,0.67
fffe32003800380033003500,0.64
fffe32003400380039003400,0.5
fffe3500350037003700,0.36
fffe32003700330037003800,0.37
fffe3700320030003800,0.53
fffe31003400350033003300,0.5
fffe380030003600,0.68
fffe31003300380038003400,0.19
fffe31003300330038003300,0.58
fffe33003200390039003800,0.09
fffe31003000340034003200,0.54
fffe3700310031003400,0.44
fffe32003500350032003100,0.91
fffe3100310037003400,0.55
fffe33003200360031003600,0.69
fffe31003900300038003300,0.24
fffe3400380039003900,0.76
fffe3500330036003500,0.63
fffe3800330035003100,0.74
fffe3100310032003200,0.34
fffe32003200340030003600,0.4
fffe33003300370038003900,0.22
fffe340035003600,0.58
fffe31003800370038003200,0.4
fffe3900330035003200,0.81
fffe31003700340039003300,0.75
fffe3100300034003300,0.46
fffe32003200380035003400,0.7
fffe3700300030003100,0.39
fffe3600370034003300,0.44
fffe31003700300037003700,0.62
fffe3900300032003200,0.37
fffe32003200340033003500,0.38
fffe31003500370034003300,0.25
fffe32003500350033003100,0.22
fffe33003300360033003600,0.3
fffe3900310038003000,0.07
fffe31003100390032003800,0.81
fffe32003900340038003500,0.62
fffe32003000300030003000,0.58
fffe31003600380037003000,0.74
fffe32003900330035003000,0.38
fffe3600310031003500,0.3
fffe3200380033003400,0.43
fffe32003800310030003700,0.94
fffe3900300032003300,0.38
fffe33003400350039003800,0.3
fffe31003600310033003100,0.56
fffe31003700320039003100,0.18
fffe3600360034003900,0.16
fffe31003800310031003000,0.38
fffe33003300320039003300,0.45
fffe3200380032003700,0.46
fffe3400390032003700,0.57
fffe32003900360031003000,0.76
fffe33003400360031003100,0.42
fffe32003700380033003200,0.55
fffe3500380030003100,0.63
fffe32003400370036003400,0.45
fffe33003100360033003700,0.3
fffe32003800380031003100,0.46
fffe3400310031003000,0.45
fffe31003800370030003500,0.25
fffe3700360036003800,0.61
fffe32003300310030003000,0.26
fffe32003300340036003900,0.42
fffe32003600310039003200,0.43
fffe3100380030003000,0.69
fffe3500310035003900,0.91
fffe33003400360030003800,0.44
fffe32003000300034003500,0.74
fffe32003600330037003000,0.66
fffe3900300034003600,0.38
fffe31003400380036003000,0.34
fffe31003400350031003000,0.0
fffe31003600360036003200,0.67
fffe32003100360035003900,0.47
fffe31003600340030003200,0.41
fffe31003200370037003600,0.43
fffe3200380039003300,0.28
fffe3800340030003700,0.33
fffe31003200310030003400,0.47
fffe330037003700,0.06
fffe31003600360035003500,0.01
fffe31003700320032003900,0.61
fffe31003400360033003300,0.42
fffe3800350031003600,0.67
fffe33003400380032003300,0.57
fffe33003100340038003100,0.39
fffe32003300340032003300,0.29
fffe32003400320035003300,0.81
fffe32003900340034003200,0.56
fffe32003600330036003200,0.85
fffe32003800340039003900,0.12
fffe32003800350037003600,0.16
fffe31003500330035003500,0.61
fffe3100380030003700,0.16
fffe31003200380031003800,0.38
fffe3600320034003100,0.4
fffe31003700310033003100,0.29
fffe31003800300037003600,0.43
fffe33003000380036003200,0.75
fffe31003200360036003000,0.61
fffe31003400340032003200,0.45
fffe3100380033003100,0.45
fffe32003300310032003400,0.59
fffe32003000330035003700,0.77
fffe31003800340038003100,0.28
fffe32003900350035003700,0.4
fffe31003300390039003700,0.9
fffe3600370036003200,0.17
fffe31003900380030003700,0.43
fffe3600390035003300,0.6
fffe3600370032003300,0.65
fffe310032003800,0.58
fffe32003800340031003100,0.12
fffe32003900330036003200,0.65
fffe33003100370033003200,0.38
fffe33003400370039003300,0.52
fffe32003300370031003300,0.27
fffe33003000330032003800,0.72
fffe31003900380032003100,0.22
fffe31003300340036003700,0.42
fffe3700360030003800,0.0
fffe32003800340031003000,0.47
fffe33003100300037003400,0.07
fffe32003400370036003900,0.42
fffe32003000330031003900,0.52
fffe32003900340038003600,0.37
fffe32003100320033003500,0.03
fffe3800340034003600,0.43
fffe33003300320035003700,0.5
fffe32003700350033003100,0.34
fffe31003100350038003500,0.24
fffe31003600310038003100,0.55
fffe31003800350039003300,0.55
fffe33003400320037003400,0.3
fffe31003100390030003500,0.41
fffe3500310033003500,0.48
fffe32003100380033003800,0.66
fffe33003100380039003700,0.77
fffe32003800300035003900,0.74
fffe3400340039003200,0.68
fffe32003100360032003300,0.5
fffe33003300360037003000,0.0
fffe32003600360033003400,0.96
fffe31003100300031003200,0.72
fffe3400390036003800,0.22
fffe33003200330030003900,0.44
fffe32003000380036003700,0.46
fffe3700310034003200,0.46
fffe32003500310034003000,0.56
fffe31003300380036003000,0.52
fffe32003100330033003300,0.57
fffe3700340036003100,0.83
fffe33003100350039003900,0.48
fffe32003300300034003900,0.48
fffe31003700320031003100,0.24
fffe32003400330031003500,0.55
fffe33003100320032003200,0.36
fffe33003000390038003600,0.62
fffe32003600370031003100,0.92
fffe3200340038003900,0.28
fffe31003600380038003300,0.26
fffe31003200350033003300,0.77
fffe3600370031003300,0.39
fffe33003100360031003800,0.35
fffe32003500370034003600,0.34
fffe33003000310032003400,0.23
fffe32003000370031003300,0.13
fffe31003300320032003200,0.58
fffe3200370038003600,0.32
fffe33003300380032003100,0.54
fffe31003300330038003600,0.71
fffe3900360037003000,0.26
fffe32003600360031003200,0.56
fffe33003300350038003100,0.6
fffe31003100330034003900,0.39
fffe3500340036003500,0.4
fffe32003500370030003700,0.92
fffe3400370033003800,0.51
fffe31003900300039003400,0.4
fffe31003300340034003600,0.39
fffe33003100380038003700,0.43
fffe31003900380034003400,0.32
fffe31003200320031003000,0.04
fffe3300380038003500,0.68
fffe31003500300038003500,0.21
fffe3600320038003300,0.56
fffe32003200380037003600,0.47
fffe32003800350031003000,0.26
fffe3800360036003000,0.18
fffe31003300340038003000,0.29
fffe32003600350039003700,0.68
fffe32003900310031003400,0.44
fffe31003900300033003800,0.64
fffe33003000340030003400,0.4
fffe31003800380031003800,0.18
fffe31003800350031003600,0.43
fffe32003500350036003800,0.66
fffe3300390037003000,0.3
fffe31003000320037003500,0.25
fffe32003000370038003000,0.2
fffe3500340033003100,0.16
fffe32003100370039003500,0.34
fffe33003200330035003500,0.31
fffe32003900300033003100,0.36
fffe31003200310032003100,0.07
fffe31003800300032003400,0.43
fffe33003300310034003600,0.74
fffe33003400320039003100,0.28
fffe31003100320032003300,0.26
fffe31003100310034003200,0.27
fffe31003600390034003400,0.57
fffe31003600340033003600,0.6
fffe32003000390038003800,0.49
fffe31003100340038003400,0.5
fffe31003700370036003800,0.36
fffe3900350032003900,0.64
fffe31003000300036003800,0.39
fffe32003700300030003400,0.55
fffe31003800360036003600,0.45
fffe3700380031003100,0.83
fffe3100310036003000,0.19
fffe31003800380038003200,0.55
fffe33003200390033003400,0.46
fffe3500390039003100,0.37
fffe33003300310030003400,0.43
fffe31003500350035003000,0.39
fffe33003200330037003100,0.43
fffe33003200360031003500,0.28
fffe32003800360039003200,0.62
fffe31003600350035003000,0.31
fffe32003500300037003400,0.28
fffe3200330034003300,0.45
fffe31003100380032003200,0.0
fffe33003100340031003200,0.71
fffe33003400300036003400,0.41
fffe31003800310032003800,0.52
fffe3900380030003500,0.52
fffe31003600310036003900,0.2
fffe3600320039003300,0.48
fffe32003500340037003800,0.19
fffe31003800390033003000,0.38
fffe32003400340033003200,0.28
fffe31003400370034003600,0.33
fffe33003000300030003900,0.13
fffe32003800350033003100,0.25
fffe3100320036003200,0.43
fffe32003500330034003900,0.23
fffe3800380036003800,0.4
fffe31003300360033003700,0.43
fffe32003500390031003200,0.3
fffe3500320034003600,0.44
fffe32003500310034003800,0.47
fffe3700320038003100,0.55
fffe33003400330039003900,0.37
fffe3500390036003800,0.49
fffe3600370039003100,0.3
fffe32003000370035003200,0.38
fffe31003400320039003800,0.25
fffe31003100340030003900,0.67
fffe32003300310039003600,0.19
fffe3600390033003800,0.61
fffe3300380038003700,0.76
fffe32003600330038003100,0.29
fffe31003600390034003300,0.22
fffe33003200390030003000,0.41
fffe33003400320036003200,0.57
fffe32003600330037003800,0.32
fffe31003800370037003000,0.33
fffe3400340038003800,0.47
fffe32003700390031003800,0.07
fffe31003300360030003300,0.95
fffe32003200310032003000,0.55
fffe32003600370030003900,0.36
fffe3100350036003500,0.29
fffe31003200370037003000,0.68
fffe33003400340036003000,0.16
fffe3200350032003500,0.43
fffe350034003400,0.11
fffe33003400310037003500,0.27
fffe32003200300037003500,0.3
fffe320033003300,0.72
fffe3300380035003700,0.46
fffe31003100320030003700,0.78
fffe3600340037003300,0.4
fffe31003100370038003900,0.21
fffe3400320038003200,0.41
fffe3100340036003900,0.39
fffe31003500300033003900,0.28
fffe31003600350038003100,0.2
fffe32003800330035003700,0.38
fffe3100300032003600,0.32
fffe33003300330037003700,0.63
fffe32003100320031003000,0.4
fffe320034003300,0.47
fffe3700300030003000,0.75
fffe32003700330031003300,0.22
fffe32003200300032003300,0.23
fffe3100350030003600,0.51
fffe31003000320030003700,0.52
fffe3500360032003600,0.25
fffe33003000360030003600,0.26
fffe31003500370033003300,0.27
fffe33003400390034003600,0.54
fffe32003400310034003400,0.43
fffe31003600340036003900,0.59
fffe3400370039003200,0.54
fffe3800340031003000,0.34
fffe31003800360038003500,0.43
fffe3300390039003100,0.47
fffe32003700340039003600,0.59
fffe32003700320033003500,0.13
fffe31003200330036003000,0.6
fffe31003000350036003000,0.18
fffe3400390033003100,0.61
fffe32003100370037003600,0.4
fffe32003000380036003100,0.72
fffe32003700320035003100,0.39
fffe3400320030003700,0.36
fffe31003700350039003400,0.36
fffe31003800340038003400,0.56
fffe33003000350033003800,0.91
fffe33003100390031003900,0.59
fffe31003600390034003600,0.31
fffe3400300039003900,0.38
fffe31003000380034003200,0.36
fffe31003600310036003000,0.39
fffe3600300036003000,0.24
fffe3200370035003000,0.51
fffe3200320034003800,0.4
fffe32003500380033003000,0.11
fffe32003200380037003200,0.52
fffe32003200380038003000,0.62
fffe32003700300032003300,0.31
fffe32003400390036003100,0.02
fffe3400300038003000,0.38
fffe33003400390039003600,0.44
fffe3900340038003700,0.44
fffe33003300370034003400,0.59
fffe31003300330032003700,0.47
fffe31003200300035003200,0.12
fffe32003800390030003500,0.51
fffe33003000340035003000,0.42
fffe3200340030003500,0.13
fffe32003800380034003000,0.11
fffe32003900310037003700,0.51
fffe3400360031003500,0.42
fffe3600360037003100,0.33
fffe32003000310034003500,0.61
fffe32003000310037003400,0.47
fffe32003300370033003600,0.93
fffe3100330031003500,0.61
fffe32003300300034003200,0.0
fffe31003000370033003900,0.48
fffe3500330031003100,0.42
fffe3600330031003100,0.53
fffe3200320035003700,0.43
fffe33003100300033003200,0.42
fffe32003400350039003100,0.52
fffe3800360039003000,0.53
fffe310036003500,0.61
fffe31003900350032003100,0.81
fffe31003800380036003700,0.4
fffe31003800320030003800,0.34
fffe33003200300037003000,0.55
fffe32003900380030003100,0.37
fffe32003500390034003300,0.41
fffe3800370033003200,0.49
fffe32003000300032003900,0.51
fffe32003100320031003600,0.61
fffe31003700360033003900,0.9
fffe33003100310031003900,0.48
fffe3300310038003000,0.54
fffe33003200360033003200,0.61
fffe32003300370032003200,0.51
fffe3100330036003600,0.38
fffe3600310033003300,0.56
fffe31003200390031003700,0.44
fffe32003300330033003500,0.61
fffe3800380030003700,0.59
fffe3900330032003100,0.56
fffe32003300350036003200,0.4
fffe3600380033003200,0.15
fffe32003000380034003200,0.16
fffe32003400350034003500,0.33
fffe32003400360031003400,0.53
fffe32003800310033003600,0.54
fffe31003000390036003400,0.32
fffe360034003000,0.79
fffe31003200390035003300,0.37
fffe33003300330034003900,0.43
fffe32003900390033003800,0.63
fffe32003100340030003500,0.22
fffe3600370037003800,0.84
fffe32003000320036003300,0.28
fffe31003800370038003500,0.6
fffe33003000380039003400,0.84
fffe3800320038003000,0.44
fffe3100340035003800,0.31
fffe3600320030003500,0.0
fffe32003200320031003900,0.46
fffe3600380038003500,0.58
fffe31003300300035003200,0.44
fffe3800320034003500,0.6
fffe32003300340033003100,0.02
fffe31003600340032003600,0.19
fffe3500380032003000,0.37
fffe3900330037003800,0.52
fffe33003400360039003000,0.47
fffe31003400340032003900,0.59
fffe33003100370032003400,0.58
fffe31003700390036003300,0.28
fffe33003400380034003600,0.61
fffe31003400340036003800,0.71
fffe31003700310034003000,0.29
fffe32003100,0.35
fffe31003500390038003100,0.62
fffe31003100320034003300,0.37
fffe3300300032003700,0.41
fffe31003000300033003400,0.77
fffe32003400300037003000,0.28
fffe32003000390039003200,0.47
fffe32003000320035003700,0.27
fffe33003300390034003400,0.38
fffe3100320036003700,0.37
fffe32003200320038003000,0.1
fffe32003100380031003900,0.32
fffe32003900390030003100,0.63
fffe32003700380036003100,0.57
fffe3600350039003900,0.29
fffe32003300320033003100,0.36
fffe31003300340032003600,0.07
fffe360032003500,0.53
fffe32003700300036003300,0.43
fffe31003700350030003000,0.51
fffe32003900320039003600,0.36
fffe32003600350037003700,0.38
fffe32003900300030003800,0.56
fffe31003200300031003300,0.37
fffe33003000390033003700,0.46
fffe3100300034003000,0.85
fffe31003200320032003400,0.32
fffe31003100350036003400,0.32
fffe3200390033003500,0.59
fffe32003800320032003700,0.25
fffe31003100300038003400,0.64
fffe32003900390039003700,0.61
fffe3800380039003000,0.04
fffe31003800330036003700,0.42
fffe31003600350033003300,0.69
fffe32003700380038003000,0.64
fffe32003000330032003500,0.55
fffe3800380037003200,0.78
fffe3100340034003700,0.14
fffe32003800320030003900,0.37
fffe31003700340033003500,0.44
fffe32003100390036003200,0.37
fffe32003600350034003900,0.6
fffe31003600320033003500,0.53
fffe3700310036003800,0.41
fffe33003300320033003700,0.33
fffe31003500380032003300,0.79
fffe32003400360037003500,0.41
fffe3400340033003200,0.58
fffe33003000390031003300,0.61
fffe3300310036003200,0.44
